210112081,Havasupai Trading Company (Market),36.236730000000001,-112.688505000000010,NULL,400590006,4005,86435,5
210112082,Havasupai Tribal Cafe,36.236617000000003,-112.688877000000010,NULL,400590006,4005,86435,5
210112083,The Sinyella Store,36.232335999999997,-112.691120000000000,Hualapai Hill Top Trai,400590006,4005,86435,5
210112084,Kaibieto Market,36.585977000000000,-111.091983000000000,NULL,400590007,4005,86053,5
210112085,Tuvi,36.118417999999998,-111.229201000000000,AZ-264,402785540,4005,86045,5
210112086,76,36.118575000000000,-111.229209999999990,160 AZ-264,402785540,4005,86045,5
210112087,Tesla Destination Charger,36.119162000000003,-111.228101000000000,1 Legacy Ln,402785540,4005,86045,5
210112088,Tuba City Express,36.119300000000003,-111.229657000000000,NULL,402785540,4005,86045,5
210112089,Speedway #3010,36.119976999999999,-111.229394000000000,NULL,402785540,4005,86045,5
210112090,Chevron,36.121963000000001,-111.224901000000000,"US-160 &, AZ-264, Tuba City, AZ ",402785540,4005,86045,5
210112091,Ferrellgas,36.124563000000002,-111.236104999999990,"105 S, Main St",402785540,4005,86045,5
210112092,7-Eleven,36.124862000000000,-111.236810000000010,417 Main St,402785540,4005,86045,5
210112093,Kaibeto Market Gas Station,36.585847000000001,-111.091922000000000,NULL,400590007,4005,86053,5
