state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
4,41,4013,49,4005,4,3133,5,2.7412360148737984,8.838443922056069
4,41,4013,49,4005,4,3133,6,2.1316528587424806,8.775935220388094
4,41,4013,49,4005,4,3133,7,20.42053086991723,23.54475271968402
4,41,4013,49,4005,4,3133,43,69.3930802335832,203.95374811677692
4,41,4013,49,4015,4,3133,3,0.1873794504298008,0.7466922056302531
4,41,4013,49,4015,4,3133,4,0.07143094582215993,0.06376607602388139
4,41,4013,49,4015,4,3133,5,0.01039604878876538,0.02596119255272587
4,41,4013,49,4015,4,3133,6,0.005951325063937873,0.015294057920379665
4,41,4013,49,4015,4,3133,7,0.052200405458476845,0.10177241484931127
4,41,4013,49,4015,4,3133,43,0.2748021725971034,0.8289175102412167
4,41,4013,49,4025,4,3133,2,5.227033380766877,1.4694829948649146
4,41,4013,49,4025,4,3133,3,1.257590685142189,6.296189958954518
4,41,4013,49,4025,4,3133,4,3.9541497816976703,2.5790022196370184
4,41,4013,49,4025,4,3133,5,0.22284822328764609,0.7193052922456493
4,41,4013,49,4025,4,3133,6,0.15591831125723088,0.6594754535493133
4,41,4013,49,4025,4,3133,7,1.7363713491126833,1.9311894877420106
4,41,4013,49,4025,4,3133,43,5.369381310647688,15.873190059138023
4,41,4021,49,4001,4,3133,3,4.3415509984032486e-05,0.00014975360674721709
4,41,4021,49,4001,4,3133,4,2.5035898728066953e-05,2.9934965657937282e-05
4,41,4021,49,4001,4,3133,5,1.227707628619566e-05,4.1383056527691775e-05
4,41,4021,49,4001,4,3133,6,3.691806895499586e-05,0.000135290926110425
4,41,4021,49,4001,4,3133,7,0.00020631579172585024,0.00022696676202639754
4,41,4021,49,4001,4,3133,43,0.00036264429623243785,0.0009895151653809401
4,41,4021,49,4005,4,3133,2,0.09299954970263684,0.026038396649075826
4,41,4021,49,4005,4,3133,3,0.1663847511202326,0.5614099529228292
4,41,4021,49,4005,4,3133,4,0.20531692409968966,0.1287458188890095
4,41,4021,49,4005,4,3133,5,0.06272193398278586,0.1729303219585665
4,41,4021,49,4005,4,3133,6,0.24444806359853705,0.8340747487085869
4,41,4021,49,4005,4,3133,7,2.6477193797910883,2.006634991306231
4,41,4021,49,4005,4,3133,43,2.05324405107163,6.117562343143484
4,41,4021,49,4015,4,3133,6,0.00012396623306247688,0.0004293584669666985
4,41,4021,49,4015,4,3133,7,0.00026435298064910617,0.00014796549087526755
4,41,4021,49,4015,4,3133,43,0.0011115519755244196,0.002602090814724109
4,41,4021,49,4025,4,3133,2,0.2313011951800887,0.06476066050601201
4,41,4021,49,4025,4,3133,3,0.09651343932645247,0.4839845412283456
4,41,4021,49,4025,4,3133,4,0.015927775637670283,0.012025602906655098
4,41,4021,49,4025,4,3133,5,0.015529481714716662,0.05399974372934642
4,41,4021,49,4025,4,3133,6,0.01887583403409557,0.06930072344050302
4,41,4021,49,4025,4,3133,7,0.22413150064729787,0.18070457779532118
4,41,4021,49,4025,4,3133,43,0.38012922543611616,1.1267859874205461
4,42,4019,49,4001,4,3133,5,2.6530656196803914e-05,7.751565636631405e-05
4,42,4019,49,4005,4,3133,5,0.14645021325207702,0.4278893187191121
4,42,4019,49,4005,4,3133,7,5.109966724570679e-07,3.4017778480713395e-05
4,42,4019,49,4025,4,3133,5,0.011547691866586263,0.033739343192808566
4,42,4019,49,4025,4,3133,7,2.994827336730608e-06,0.00019936993413092332
4,42,4023,49,4001,4,3133,3,7.537361947442405e-07,9.044834336930885e-07
4,42,4023,49,4001,4,3133,5,8.671653681599128e-05,0.0002533630988710703
4,42,4023,49,4015,4,3133,3,0.0012705451128576279,0.0015246541354291534
4,42,4023,49,4025,4,3133,3,0.0030615919858804487,0.003673910383056539
4,42,4023,49,4025,4,3133,5,0.08208978327992691,0.2398449320178735
4,49,4003,49,4001,4,3133,7,2.956728682744331e-05,1.5141685974025809e-05
4,49,4003,49,4005,4,3133,7,0.1230913624392677,0.06234277113254121
4,49,4003,49,4025,4,3133,7,0.010317265832585569,0.00522034451963346
4,49,4005,49,4001,4,3133,6,0.00015280122799155824,0.0010779294548909429
4,49,4005,49,4001,4,3133,7,0.00015747172910953017,9.208900621239028e-05
4,49,4005,49,4005,4,3133,3,0.0725018210855953,0.5789733286220274
4,49,4005,49,4005,4,3133,4,0.0016204463999415794,0.004893748127823572
4,49,4005,49,4005,4,3133,6,0.0006499468111435908,0.00424349711074246
4,49,4005,49,4005,4,3133,7,101.20534563625874,63.15138109545808
4,49,4005,49,4015,4,3133,7,0.011436939708284572,0.006588273925504607
4,49,4005,49,4025,4,3133,3,0.007076311098979771,0.05682771977057294
4,49,4005,49,4025,4,3133,6,0.0031685308309465747,0.020813984215452302
4,49,4005,49,4025,4,3133,7,1.7787325569015322,1.6635244605945703
4,49,4007,49,4001,4,3133,7,2.6643755953463753e-05,1.5374374812690876e-05
4,49,4007,49,4005,4,3133,3,0.008090800315881096,0.06469759937315142
4,49,4007,49,4005,4,3133,7,1.5937673101724414,1.4681021796852312
4,49,4007,49,4025,4,3133,3,0.0006795064886064889,0.005433632873750132
4,49,4007,49,4025,4,3133,7,0.10346372235032772,0.08315512728273583
4,49,4009,49,4001,4,3133,3,5.837550121583958e-09,7.04911712795044e-09
4,49,4012,49,4025,4,3133,3,3.646849088017034e-05,4.403742294963967e-05
4,49,4015,49,4001,4,3133,6,7.568389091912358e-05,0.00017565043536499174
4,49,4015,49,4005,4,3133,6,0.0016424398407157634,0.0038334804156202884
4,49,4015,49,4005,4,3133,7,0.3971596845485653,0.2547414786578399
4,49,4015,49,4015,4,3133,3,0.000625725131741051,0.003693626004616812
4,49,4015,49,4015,4,3133,6,0.003707466303928251,0.009779961581815228
4,49,4015,49,4015,4,3133,7,3.2045198305851286,1.8167176440798436
4,49,4015,49,4025,4,3133,3,0.033676721252758966,0.2691008445542757
4,49,4015,49,4025,4,3133,6,0.02028104639291999,0.059965396775695574
4,49,4015,49,4025,4,3133,7,6.703019950160542,7.087902231403831
4,49,4017,49,4001,4,3133,3,2.1510386571569266e-07,1.8418058503325089e-06
4,49,4017,49,4001,4,3133,7,3.812956735717372e-06,8.20247608652124e-05
4,49,4017,49,4005,4,3133,3,8.351617012941917e-05,0.0005749740310152932
4,49,4017,49,4005,4,3133,7,0.0001207017363030425,0.002438029928503373
4,49,4017,49,4025,4,3133,3,1.4305934419413906e-05,1.727509061966963e-05
4,49,4017,49,4025,4,3133,7,0.00025757802376842457,0.005176507276795965
4,49,4025,49,4001,4,3133,7,9.718876060525291e-05,5.4264170892347305e-05
4,49,4025,49,4005,4,3133,2,0.7107271940374318,0.21950851620336656
4,49,4025,49,4005,4,3133,3,0.08240773161305429,0.4743216429944877
4,49,4025,49,4005,4,3133,6,0.0025721314956568967,0.016116505642034366
4,49,4025,49,4005,4,3133,7,12.60221270963816,11.46364873707787
4,49,4025,49,4015,4,3133,6,0.008121697528817036,0.05729415335922908
4,49,4025,49,4015,4,3133,7,0.008218861640961063,0.005023371236362143
4,49,4025,49,4025,4,3133,2,5.643490914354397,1.8085526212294265
4,49,4025,49,4025,4,3133,3,0.1280486898582861,0.19370252511631111
4,49,4025,49,4025,4,3133,6,0.012448064136937885,0.07916300642306251
