state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
4,49,4015,49,4001,4,42,6,0.002000398700757645,0.00464261150456868
4,49,4015,49,4005,4,42,6,0.02952329948861237,0.06899588727872592
4,49,4015,49,4005,4,42,7,0.27157277420531073,0.6996915188823115
4,49,4015,49,4015,4,42,3,0.00035806845207265043,0.0019494667860566364
4,49,4015,49,4015,4,42,6,0.01769759687064778,0.041658287116787145
4,49,4015,49,4015,4,42,7,57.402968059698104,31.13935717158281
4,49,4015,49,4025,4,42,3,0.03177254485463017,0.2540046396419686
4,49,4015,49,4025,4,42,6,0.1295276918145789,0.31179963736714605
4,49,4015,49,4025,4,42,7,10.26437885180525,12.880636741689072
4,49,4017,49,4001,4,42,3,2.8970691897718927e-05,0.00028183731922384333
4,49,4017,49,4001,4,42,7,2.300994683024073e-05,0.0005251242446408113
4,49,4017,49,4005,4,42,3,0.00043773097807807377,0.0030835138708720225
4,49,4017,49,4005,4,42,7,0.0002209717681898586,0.004467871173900129
4,49,4017,49,4025,4,42,3,2.852870876628019e-05,3.4449761529093056e-05
4,49,4017,49,4025,4,42,7,0.0005609784875383169,0.011342533185040457
4,49,4025,49,4001,4,42,7,0.00770859631193798,0.00422778617265237
4,49,4025,49,4005,4,42,2,0.9960027227788656,0.309571800871667
4,49,4025,49,4005,4,42,3,0.055765681604097166,0.17883584275642406
4,49,4025,49,4005,4,42,6,0.002959498412049301,0.01938591256707013
4,49,4025,49,4005,4,42,7,3.8669521079004903,3.4967221227820318
4,49,4025,49,4015,4,42,6,0.0018673976075315086,0.013173473221447523
4,49,4025,49,4015,4,42,7,0.19296208563346662,0.11510129705691016
4,49,4025,49,4025,4,42,2,4.354171736084373,1.385899197965193
4,49,4025,49,4025,4,42,3,0.16033099033454468,0.475706110891621
4,49,4025,49,4025,4,42,6,0.007513244595286998,0.04921479336709294
4,49,4025,49,4025,4,42,7,14.404869590261178,14.105515487971092
4,49,4027,49,4001,4,42,6,0.005342848226037628,0.01239991239345032
4,49,4027,49,4015,4,42,7,0.0813349755086507,0.041153984063304866
4,49,4027,49,4025,4,42,6,0.4914983050337744,1.1439093086408487
4,49,4027,49,4025,4,42,7,2.967600211305773,12.142916353580175
5,50,5003,49,4005,4,42,7,5.24491013173908e-05,0.0015909560732941875
5,50,5003,49,4025,4,42,7,0.0001331519305420672,0.004038941893109372
5,50,5007,49,4005,4,42,5,0.00039868786017930696,0.0001982575236220164
5,50,5007,49,4025,4,42,5,0.001012144287188358,0.0005033140959844805
5,50,5009,49,4025,4,42,7,5.873618161031647e-05,0.0017816641755129328
5,50,5021,49,4005,4,42,7,0.0003413563303166142,0.010354475352937298
5,50,5023,49,4025,4,42,7,8.227139796417982e-05,0.002495565738246788
5,50,5031,49,4005,4,42,7,0.0007297805008189872,0.022136675191509282
5,50,5033,49,4005,4,42,5,0.00029047265589996613,0.00014444480304150068
5,50,5033,49,4025,4,42,5,0.0007374195921625403,0.00036670036089574083
5,50,5037,49,4005,4,42,7,0.00011261337513511428,0.0034159390457651337
5,50,5037,49,4025,4,42,7,0.00028589028081452817,0.008672005184707355
5,50,5041,49,4005,4,42,7,6.234877546517416e-05,0.0018912461891102835
5,50,5041,49,4025,4,42,7,0.00015828411949108314,0.004801284957896191
5,50,5045,49,4001,4,42,5,1.4931149615752812e-07,7.424888097464617e-08
5,50,5045,49,4025,4,42,7,6.991297841061513e-05,0.002120693678455325
5,50,5051,49,4015,4,42,7,4.3149694820262235e-05,0.0013088740762146212
5,50,5051,49,4025,4,42,7,0.0001288298675597838,0.003907839315980109
5,50,5063,49,4001,4,42,5,0.0003213955109396512,0.000159821967173695
5,50,5069,49,4005,4,42,7,9.982311255007879e-05,0.00302796774735239
5,50,5069,49,4025,4,42,7,0.00025341978823103064,0.007687066909674598
5,50,5085,49,4025,4,42,7,0.000304775982956082,0.009244871483001156
5,50,5091,49,4005,4,42,5,6.976243358593952e-05,3.4691117302577005e-05
5,50,5095,49,4005,4,42,7,0.0001363445614018539,0.004135785029189569
5,50,5095,49,4025,4,42,7,0.0003461363705682537,0.010499469907237031
5,50,5107,49,4005,4,42,7,9.477258721341421e-05,0.0028747684788068967
5,50,5107,49,4025,4,42,7,0.00024059807762136695,0.007298141687848133
5,50,5115,49,4025,4,42,7,7.904817605206664e-05,0.002397794673579355
5,50,5119,49,4001,4,42,5,2.3230843675284226e-05,1.155211883462079e-05
