state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
48,486,48473,486,48,3133,6,0.008945885932053657,0.0222574567729867
48,486,48473,486,48,3133,7,30.982807020451187,27.74278334227027
48,486,48481,486,48,3133,2,27.54564884287775,7.628980214954053
48,486,48481,486,48,3133,3,1.3819993609799643,3.415194548310013
48,486,48481,486,48,3133,4,1.2953239529682457,1.5439862939201858
48,486,48481,486,48,3133,5,1.6013670904834223,5.197019718905584
48,486,48481,486,48,3133,6,0.18320458477768767,0.47932031074277676
48,486,48481,486,48,3133,7,3.793466996806842,3.8750687510600357
48,486,48481,486,48,3133,43,8.237012772488724,19.579883350135663
48,487,48479,486,48,3133,3,0.4664987590897725,0.39810972183045773
48,487,48479,486,48,3133,7,30.051460978950715,17.59635438695636
48,487,48479,486,48,3133,43,0.19446735955855807,0.18147682273219537
48,488,48029,486,48,3133,2,5.788762778930833,1.8370182181002694
48,488,48029,486,48,3133,3,2.3107604906107215,1.2569904687449933
48,488,48029,486,48,3133,4,3.259658160559795,4.768329313549036
48,488,48029,486,48,3133,5,0.9835621127664609,4.738636821076798
48,488,48029,486,48,3133,6,2.2506375355454473,4.14182658230174
48,488,48029,486,48,3133,7,26.35977846580362,26.676972094573877
48,488,48029,486,48,3133,43,104.22852393211916,234.06134884581132
48,488,48091,486,48,3133,3,0.0007673419560188882,0.006472362585550625
48,488,48091,486,48,3133,4,0.07977650957885445,0.032081744539076015
48,488,48091,486,48,3133,5,0.00833939387953828,0.025136385479585677
48,488,48091,486,48,3133,6,0.08632646700952332,0.16148638377879618
48,488,48091,486,48,3133,7,0.8083916876181334,0.8340363570531601
48,488,48091,486,48,3133,43,0.043438164976574656,0.13148975714390948
48,488,48187,486,48,3133,2,4.414345127086828,1.4008576148526168
48,488,48187,486,48,3133,3,0.07672332396970602,0.058842512938035677
48,488,48187,486,48,3133,4,0.24632722312913966,0.21172906159973592
48,488,48187,486,48,3133,5,0.04330164004665823,0.18511956899765664
48,488,48187,486,48,3133,6,0.22034590788518985,0.40904767999132924
48,488,48187,486,48,3133,7,2.8816905420242493,3.0513726640298784
48,488,48187,486,48,3133,43,2.975912666683478,6.7502815836626056
48,488,48259,486,48,3133,3,0.009763286840857373,0.006219212349338795
48,488,48259,486,48,3133,4,0.021650062421654546,0.02310015948918246
48,488,48259,486,48,3133,5,0.0057621372373193435,0.02398541430669114
48,488,48259,486,48,3133,6,0.02600481456341119,0.04795616542605993
48,488,48259,486,48,3133,7,0.24059708597364945,0.24674625831503866
48,488,48259,486,48,3133,43,0.4094272005692877,0.9261818231217588
48,488,48325,486,48,3133,2,9.68013018113896,3.0719129761297492
48,488,48325,486,48,3133,3,8.932097852648448e-05,0.0007534030362668695
48,488,48325,486,48,3133,4,0.005164562915715073,0.0023947183428592736
48,488,48325,486,48,3133,5,0.0011497616128109812,0.003300727722977949
48,488,48325,486,48,3133,6,0.010282027033501697,0.01920154068313107
48,488,48325,486,48,3133,7,0.10512666936185813,0.10790740116177479
48,488,48325,486,48,3133,43,0.004686545983231952,0.014189701448130337
48,488,48493,486,48,3133,3,0.004350965678329311,0.00405238574565339
48,488,48493,486,48,3133,4,0.023626932315044594,0.016071567761726715
48,488,48493,486,48,3133,5,0.004056424015248535,0.015757185157390403
48,488,48493,486,48,3133,6,0.028541359490295893,0.053478738355450584
48,488,48493,486,48,3133,7,0.30776447595871453,0.31886388670729565
48,488,48493,486,48,3133,43,0.1790587985235077,0.4120903049801095
48,489,48001,486,48,3133,2,0.004048374480657752,0.0038606604338352482
48,489,48001,486,48,3133,3,0.0007774849120139078,0.0028758841392299843
48,489,48001,486,48,3133,4,0.0010025798218854687,0.0009531252118373066
48,489,48017,486,48,3133,4,0.016561311364290215,0.004140246589122684
48,489,48017,486,48,3133,5,0.9805122926807726,4.342329388271329
48,489,48017,486,48,3133,7,0.34647234482410394,0.3846587114550779
48,489,48027,486,48,3133,1,0.1394178586799713,0.3428727214095864
48,489,48027,486,48,3133,2,8.384169235650525,2.2838911398414155
48,489,48027,486,48,3133,3,0.007923855424371963,0.015738666672537982
48,489,48027,486,48,3133,4,0.02126747328262499,0.020218405093795962
