state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_orig,sctg2,tons_2012,value_2012,test
1.0,19,1081,486,48.0,311,5,0.1586033259337015,0.31129493706973427,0.46989826300343573
1.0,19,1081,486,48.0,311,7,8.599657656173008e-05,0.0009370518535232373,0.0010230484300849673
1.0,19,1083,486,48.0,311,5,0.06284844203121566,0.12317558907802681,0.18602403110924248
1.0,19,1083,486,48.0,311,7,3.569773307963825e-05,0.0003889762626171667,0.00042467399569680493
1.0,19,1085,486,48.0,311,5,0.5753624745578023,1.0829239545892755,1.6582864291470778
1.0,19,1085,486,48.0,311,7,0.0003719070212590907,0.004052442289478574,0.004424349310737664
1.0,19,1089,486,48.0,311,5,0.31665028770198583,0.6231457381174569,0.9397960258194427
1.0,19,1089,486,48.0,311,7,0.00016541631206872228,0.0018024399112644876,0.00196785622333321
1.0,19,1095,486,48.0,311,5,0.19723910492138957,0.20095412718157224,0.3981932321029618
1.0,19,1095,486,48.0,311,7,0.011149497910713933,0.12148922783674317,0.1326387257474571
1.0,19,1101,486,48.0,311,5,9.609923793793104,22.375024372410472,31.984948166203576
1.0,19,1101,486,48.0,311,7,0.004692544956092038,0.05113177901553782,0.05582432397162986
1.0,19,1103,486,48.0,311,5,8.411830825160838,16.459205945592164,24.871036770753
1.0,19,1103,486,48.0,311,7,0.004833372106674688,0.05266628594309143,0.05749965804976612
1.0,19,1105,486,48.0,311,5,0.5479787204209675,1.3222039993718062,1.8701827197927736
1.0,19,1109,486,48.0,311,5,1.086210316821908,2.5317644796936065,3.6179747965155142
1.0,19,1109,486,48.0,311,7,0.0005272596729385276,0.005745224677175958,0.006272484350114485
1.0,19,1125,486,48.0,311,5,2.2104523811259593,5.051490456210592,7.2619428373365515
1.0,19,1125,486,48.0,311,7,0.001197216288168402,0.01304533025324702,0.014242546541415421
4.0,41,4013,486,48.0,311,5,5.148992731511054,101.57679488495498,106.72578761646604
4.0,41,4013,486,48.0,311,7,7.475446757745111,36.48063361341532,43.95608037116043
4.0,41,4021,486,48.0,311,5,0.8478175282993338,16.840109003178043,17.687926531477377
4.0,41,4021,486,48.0,311,7,1.1348262735421097,5.5400254876243515,6.674851761166462
4.0,42,4019,486,48.0,311,7,0.12339368111555983,0.13456608263821693,0.25795976375377677
4.0,42,4023,486,48.0,311,7,0.02164371750288893,0.023594842710268866,0.045238560213157794
4.0,49,4001,486,48.0,111,3,0.00031256438889817,8.475930084923118e-05,0.00039732368974740117
4.0,49,4001,486,48.0,112,3,0.0002484886891740452,6.738364417513881e-05,0.000315872333349184
4.0,49,4003,486,48.0,111,3,0.21831304154374906,0.05920079645908014,0.2775138380028292
4.0,49,4003,486,48.0,112,3,0.23681633687359743,0.06421840700996007,0.3010347438835575
4.0,49,4003,486,48.0,311,6,0.005572165329841613,0.02799576496368652,0.03356793029352813
4.0,49,4005,486,48.0,111,3,0.0003064508579496184,8.310147088739188e-05,0.0003895523288370103
4.0,49,4005,486,48.0,112,3,0.0002436284320699466,6.606566935547655e-05,0.00030969410142542313
4.0,49,4005,486,48.0,311,6,0.4819868396629772,2.100622629729775,2.582609469392752
4.0,49,4007,486,48.0,111,3,0.00044166121126815324,0.00011976698820769733,0.0005614281994758505
4.0,49,4007,486,48.0,112,3,0.0003511206629581818,9.521475562511939e-05,0.0004463354185833012
4.0,49,4009,486,48.0,111,3,0.021791879472531972,0.005909388701616536,0.02770126817414851
4.0,49,4009,486,48.0,112,3,0.01732454418066292,0.004697964017785146,0.022022508198448067
4.0,49,4011,486,48.0,112,3,1.2535615408625731e-05,3.3993315793121923e-06,1.5934946987937923e-05
4.0,49,4012,486,48.0,112,3,0.0009917697978347624,0.00026894207290915716,0.0012607118707439195
4.0,49,4015,486,48.0,111,3,3.770988000313933e-06,1.0225934807998236e-06,4.793581481113757e-06
4.0,49,4015,486,48.0,112,3,0.00021723436298708458,5.890828700006522e-05,0.00027614264998714977
4.0,49,4017,486,48.0,111,3,0.00013913871521132253,3.7730786491528675e-05,0.0001768695017028512
